Program,Worker,Count,CPU%,Mem%,IO_KB/s,Time_s
A,cpu,2,200.00,0,31.81,0.88
A,cpu,3,300.00,0,15.905,0.88
A,cpu,4,393.30,0,15.905,0.90
A,cpu,5,400.00,0,15.905,0.90
B,cpu,2,200.00,0,15.905,0.88
B,cpu,3,300.00,0,15.905,0.88
B,cpu,4,396.65,0,15.905,0.89
B,cpu,5,506.70,0,15.905,0.89
B,cpu,6,593.30,0,15.905,0.91
B,cpu,7,677.90,0,15.905,0.93
B,cpu,8,800.00,0,15.905,1.25
A,mem,2,200.00,.20,31.81,0.92
A,mem,3,150.00,.15,10.6033,1.28
A,mem,4,250.00,.25,10.6033,1.71
A,mem,5,400.00,.40,10.6033,2.16
B,mem,2,200.00,.20,15.905,0.92
B,mem,3,306.70,.40,15.905,1.28
B,mem,4,402.23,.50,10.6033,1.71
B,mem,5,373.32,.45,10.6033,2.15
B,mem,6,593.72,.70,10.6033,2.61
B,mem,7,701.32,.80,7.9525,3.07
B,mem,8,800.00,1.00,6.362,3.74
A,io,2,2.87,0,4.54429,6.46
A,io,3,1.91,0,3.97625,6.98
A,io,4,6.70,0,3.97625,6.87
A,io,5,6.70,0,3.97625,6.62
B,io,2,1.82,0,3.97625,6.76
B,io,3,4.69,0,4.54429,6.48
B,io,4,6.70,0,4.54429,6.55
B,io,5,8.50,0,3.97625,6.65
B,io,6,16.34,0,3.97625,7.14
B,io,7,12.01,0,3.97625,6.68
B,io,8,16.96,0,3.97625,6.74
